pair_key,substance_a_id,substance_b_id,code,status,confidence,risk_score,headline,mechanism_primary_category,evidence_tier,validation_flags,source_refs,source_text
mescaline_peyote|psilocybin,mescaline_peyote,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
psilocybin|yopo,psilocybin,yopo,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
lsd|psilocybin,lsd,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
kambo|psilocybin,kambo,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
psilocybin|tobacco_rape,psilocybin,tobacco_rape,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
cannabis|psilocybin,cannabis,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
alcohol|psilocybin,alcohol,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
psilocybin|ssri,psilocybin,ssri,LOW_MOD,missing_evidence,high,2,Blunted effects; washout mostly 2 weeks (fluoxetine 6 weeks).,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,psilocybin_ssri_interaction_chart,Psilocybin-Mushrooms-SSRIs-Antidepressant-Interaction-Chart.pdf
psilocybin|snri,psilocybin,snri,LOW_MOD,missing_evidence,high,2,Blunted effects with typical 2-week washout guidance.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,psilocybin_ssri_interaction_chart,Psilocybin-Mushrooms-SSRIs-Antidepressant-Interaction-Chart.pdf
psilocybin|tricyclic_ad,psilocybin,tricyclic_ad,CAUTION,missing_evidence,high,3,Intensified effects; chart indicates caution with 2-week washout guidance.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,psilocybin_ssri_interaction_chart,Psilocybin-Mushrooms-SSRIs-Antidepressant-Interaction-Chart.pdf
maoi_pharma|psilocybin,maoi_pharma,psilocybin,DANGEROUS,missing_evidence,high,5,Serotonin syndrome or hypertension category in source chart.,serotonergic_toxicity,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier,psilocybin_ssri_interaction_chart,Psilocybin-Mushrooms-SSRIs-Antidepressant-Interaction-Chart.pdf
ndri_bupropion|psilocybin,ndri_bupropion,psilocybin,CAUTION,missing_evidence,high,3,Reduced seizure-threshold caution; individualized risk assessment advised.,seizure_threshold,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier,psilocybin_ssri_interaction_chart,Psilocybin-Mushrooms-SSRIs-Antidepressant-Interaction-Chart.pdf
cocaine|psilocybin,cocaine,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
mdma_2cx_dox_nbome|psilocybin,mdma_2cx_dox_nbome,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
psilocybin|serotonergic_opioids,psilocybin,serotonergic_opioids,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
antihypertensives|psilocybin,antihypertensives,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
ketamine|psilocybin,ketamine,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
clonidine_guanfacine|psilocybin,clonidine_guanfacine,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
beta_blockers_ccb|psilocybin,beta_blockers_ccb,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
nn_dmt|nn_dmt,nn_dmt,nn_dmt,SELF,not_applicable,not_applicable,-1,Same entity selected; this is not an interaction pair.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,not_available,n/a
five_meo_dmt|nn_dmt,five_meo_dmt,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
mescaline_peyote|nn_dmt,mescaline_peyote,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
nn_dmt|yopo,nn_dmt,yopo,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
lsd|nn_dmt,lsd,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
kambo|nn_dmt,kambo,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
nn_dmt|tobacco_rape,nn_dmt,tobacco_rape,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
cannabis|nn_dmt,cannabis,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
alcohol|nn_dmt,alcohol,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
nn_dmt|ssri,nn_dmt,ssri,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
nn_dmt|snri,nn_dmt,snri,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
nn_dmt|tricyclic_ad,nn_dmt,tricyclic_ad,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
maoi_pharma|nn_dmt,maoi_pharma,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
atypical_ad|nn_dmt,atypical_ad,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
ndri_bupropion|nn_dmt,ndri_bupropion,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
amphetamine_stims|nn_dmt,amphetamine_stims,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
methylphenidate|nn_dmt,methylphenidate,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
cocaine|nn_dmt,cocaine,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
mdma_2cx_dox_nbome|nn_dmt,mdma_2cx_dox_nbome,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
nn_dmt|serotonergic_opioids,nn_dmt,serotonergic_opioids,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
antipsychotics|nn_dmt,antipsychotics,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
antihypertensives|nn_dmt,antihypertensives,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
benzodiazepines|nn_dmt,benzodiazepines,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
ketamine|nn_dmt,ketamine,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
clonidine_guanfacine|nn_dmt,clonidine_guanfacine,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
beta_blockers_ccb|nn_dmt,beta_blockers_ccb,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|five_meo_dmt,five_meo_dmt,five_meo_dmt,SELF,not_applicable,not_applicable,-1,Same entity selected; this is not an interaction pair.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,not_available,n/a
five_meo_dmt|mescaline_peyote,five_meo_dmt,mescaline_peyote,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|yopo,five_meo_dmt,yopo,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|lsd,five_meo_dmt,lsd,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|kambo,five_meo_dmt,kambo,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|tobacco_rape,five_meo_dmt,tobacco_rape,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
cannabis|five_meo_dmt,cannabis,five_meo_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
alcohol|five_meo_dmt,alcohol,five_meo_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|ssri,five_meo_dmt,ssri,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|snri,five_meo_dmt,snri,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|tricyclic_ad,five_meo_dmt,tricyclic_ad,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|maoi_pharma,five_meo_dmt,maoi_pharma,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
atypical_ad|five_meo_dmt,atypical_ad,five_meo_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|ndri_bupropion,five_meo_dmt,ndri_bupropion,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
amphetamine_stims|five_meo_dmt,amphetamine_stims,five_meo_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|methylphenidate,five_meo_dmt,methylphenidate,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
cocaine|five_meo_dmt,cocaine,five_meo_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|mdma_2cx_dox_nbome,five_meo_dmt,mdma_2cx_dox_nbome,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|serotonergic_opioids,five_meo_dmt,serotonergic_opioids,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
antipsychotics|five_meo_dmt,antipsychotics,five_meo_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
antihypertensives|five_meo_dmt,antihypertensives,five_meo_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
benzodiazepines|five_meo_dmt,benzodiazepines,five_meo_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|ketamine,five_meo_dmt,ketamine,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
clonidine_guanfacine|five_meo_dmt,clonidine_guanfacine,five_meo_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
beta_blockers_ccb|five_meo_dmt,beta_blockers_ccb,five_meo_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
mescaline_peyote|mescaline_peyote,mescaline_peyote,mescaline_peyote,SELF,not_applicable,not_applicable,-1,Same entity selected; this is not an interaction pair.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,not_available,n/a
mescaline_peyote|yopo,mescaline_peyote,yopo,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
lsd|mescaline_peyote,lsd,mescaline_peyote,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
kambo|mescaline_peyote,kambo,mescaline_peyote,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
mescaline_peyote|tobacco_rape,mescaline_peyote,tobacco_rape,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
